ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
10862,ESCUELA BASICA G-N°131,2,Rural,3,Básica rural,23,Básica rural grupo 3,58.690853118896484,43.74530792236328,98.25555419921875,89.80000305175781,81.48148345947266,97.13109588623047,67.34810638427734
10864,ESCUELA BASICA G-N°134 NIHUE,2,Rural,3,Básica rural,22,Básica rural grupo 2,66.6976089477539,52.00542449951172,98.55555725097656,95.80000305175781,79.62963104248047,97.11840057373047,72.90160369873047
10865,ESCUELA ENRIQUE REYMOND ALDUNATE,2,Rural,3,Básica rural,23,Básica rural grupo 3,62.22939682006836,45.345279693603516,94.05555725097656,80.4000015258789,81.48148345947266,97.14315032958984,68.3860092163086
10868,ESCUELA BASICA G-N°139,2,Rural,3,Básica rural,22,Básica rural grupo 2,62.24998092651367,49.3207893371582,100.0,73.19999694824219,81.48148345947266,97.02742004394531,69.47797393798828
10869,ESCUELA BASICA G-N°140,2,Rural,3,Básica rural,22,Básica rural grupo 2,65.3551254272461,49.16115188598633,99.22222137451172,98.80000305175781,81.48148345947266,97.10894775390625,71.83345031738281
10870,ESCUELA BASICA G-N°141,2,Rural,3,Básica rural,21,Básica rural grupo 1,59.88224411010742,49.16115188598633,91.31111145019531,98.80000305175781,74.0740737915039,97.16355895996094,69.19768524169922
10871,ESCUELA BASICA G-N°498,2,Rural,3,Básica rural,21,Básica rural grupo 1,72.30201721191406,48.631370544433594,100.0,98.0,81.48148345947266,97.24542999267578,74.29215240478516
10873,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,52.47625732421875,39.143226623535156,80.33000183105469,62.91666793823242,62.96296310424805,97.01089477539062,60.943607330322266
10877,ESCUELA EL ASIENTO,2,Rural,3,Básica rural,21,Básica rural grupo 1,57.559024810791016,46.12992858886719,72.4222183227539,45.20000076293945,55.55555725097656,97.09785461425781,63.29119110107422
10878,ESCUELA BARRANCAS DE PICHI,2,Rural,3,Básica rural,23,Básica rural grupo 3,60.621429443359375,49.16115188598633,88.75555419921875,32.79999923706055,62.96296310424805,97.22501373291016,65.80915069580078
10879,ESCUELA SAN ALFONSO,2,Rural,3,Básica rural,22,Básica rural grupo 2,56.698211669921875,38.152854919433594,68.14444732666016,77.4000015258789,62.96296310424805,96.90644836425781,62.198482513427734
10880,ESCUELA HACIENDA ALHUE,2,Rural,3,Básica rural,21,Básica rural grupo 1,56.06597137451172,45.59458923339844,69.27777862548828,37.0,55.55555725097656,96.99637603759766,61.967872619628906
10881,COLEGIO SAN SEBASTIAN,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,69.83668518066406,49.55038833618164,79.80000305175781,76.66666412353516,81.48148345947266,95.52092742919922,70.979248046875
11759,ESCUELA ESPECIAL AMERICA DEL SUR,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,55.3125,21.75,100.0,98.09200286865234,79.9614028930664
11761,ESCUELA PARTICULAR SAN FELIPE NERI,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,71.46475982666016,47.467628479003906,78.4000015258789,60.33333206176758,92.59259033203125,95.52092742919922,70.32002258300781
11767,COLEGIO LORD COCHRANE,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,40.696319580078125,49.918243408203125,0.0,0.0,92.59259033203125,95.52092742919922,51.90120315551758
11788,ESCUELA ESPECIAL PARTICULAR LO HERMIDA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,100.0,100.0,100.0,98.09200286865234,98.80068969726562
11789,ESCUELA BASICA PART.BROTHERS SCHOOL,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,60.011375427246094,38.72949981689453,90.18000030517578,70.91666412353516,92.59259033203125,97.0092544555664,65.19898986816406
11791,ESC ESPECIAL NUESTRA SENORA DE LOURDES,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,87.6875,98.125,74.0740737915039,98.09200286865234,94.94063568115234
11792,LICEO PARTIC.ALBERTO MAGNO LA FLORIDA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,59.355926513671875,38.580238342285156,56.65999984741211,36.41666793823242,92.59259033203125,95.52092742919922,60.85104751586914
11793,ESC BASICA PARTICULAR SAN VALENTIN,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,43.56272888183594,37.523868560791016,0.0,0.0,81.48148345947266,95.52092742919922,49.269126892089844
11794,ESCUELA ESPECIAL PARTICULAR VARESCA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,82.8125,66.75,100.0,96.54935455322266,90.13459777832031
11795,COLEGIO SAN CARLOS DE LA FLORIDA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,54.59644317626953,49.74919128417969,0.0,0.0,74.0740737915039,95.52092742919922,56.62654113769531
11797,ESC PARTICULAR MANUEL VICUNA LARRAIN,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,60.00373840332031,49.01731491088867,71.19999694824219,84.33333587646484,92.59259033203125,95.52092742919922,67.28135681152344
11800,ESCUELA ESPECIAL PARTICULAR LAS ROSAS,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,93.75,79.375,100.0,98.09200286865234,94.78282928466797
11804,ESCUELA ESPECIAL NUEVA ALBORADA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,95.5,89.375,81.48148345947266,98.09200286865234,95.45320129394531
11805,COLEGIO POLIVALENTE INGLES,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,62.238834381103516,47.88484573364258,95.2272720336914,77.83333587646484,100.0,96.99490356445312,69.38031005859375
11806,ESCUELA BASICA PARTICULAR ARMI,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,40.43993377685547,35.881141662597656,0.0,0.0,74.0740737915039,95.52092742919922,47.50558090209961
11809,ESC.PAR.MAURICE AND NATALY SCHOOL,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,54.025760650634766,47.61005401611328,61.06999969482422,42.5,100.0,95.52092742919922,62.124149322509766
11811,LICEO SANTA MARIA EUFRASIA,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,53.83206558227539,47.478721618652344,63.5,64.0,92.59259033203125,92.08899688720703,62.333335876464844
11812,COLEGIO TOMAS MORO,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,57.233131408691406,47.92153549194336,79.9000015258789,44.58333206176758,100.0,95.52092742919922,64.6320571899414
11813,ESCUELA PARTICULAR ALVAREZ DE TOLEDO,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,58.469722747802734,52.888790130615234,0.0,0.0,74.0740737915039,95.52092742919922,58.938743591308594
11814,COLEGIO PESTALOZZI,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,53.83206558227539,47.478721618652344,73.66666412353516,59.33333206176758,92.59259033203125,92.08899688720703,62.71000289916992
11816,ESCUELA ESPECIAL PARTICULAR SAN CLEMENTE,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,58.30058670043945,32.09332275390625,0.0,0.0,92.59259033203125,95.62767028808594,53.44728469848633
11818,COMPLEJO EDUC.PARTICULAR DE LAS ACACIAS,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,53.17369842529297,43.88412857055664,92.89090728759766,58.5,100.0,96.97786712646484,63.79541015625
11828,ESCUELA ESPECIAL PARTICULAR SOR TERESA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,100.0,89.375,100.0,98.09200286865234,97.28282928466797
11830,ESCUELA BASICA  1287 SAN MARCOS APOSTOL,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,58.368202209472656,42.25413131713867,87.69999694824219,93.0,92.59259033203125,95.52092742919922,66.20584869384766
11831,LICEO INDUSTRIAL BENJAMIN FRANKLIN,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,50.12546920776367,49.918243408203125,86.36363220214844,57.58333206176758,100.0,96.65382385253906,63.848358154296875
11835,ESCUELA PARTICULAR ROYAL SCHOOL,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,62.62258529663086,40.90934753417969,74.43000030517578,70.33333587646484,92.59259033203125,95.52092742919922,65.4738998413086
11836,ESCUELA ESPECIAL PARTICULAR NUEVA SENDA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,84.1875,42.0,100.0,98.09200286865234,87.80426025390625
11837,ESCUELA SAINT MARY SCHOOL,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,53.85292053222656,41.979820251464844,89.52999877929688,50.08333206176758,74.0740737915039,96.98885345458984,62.37492752075195
11838,ESCUELA PART. STA. CLARISA DE COLINA,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,51.717979431152344,52.288761138916016,72.22000122070312,61.33333206176758,81.48148345947266,97.19097900390625,64.18801879882812
11843,MASTER COLLEGE,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,69.56177520751953,51.28980255126953,0.0,0.0,55.55555725097656,79.60076904296875,58.72228240966797
11845,ESCUELA PARTICULAR BELGICA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,71.41020965576172,54.81986618041992,77.58000183105469,56.25,100.0,95.52092742919922,72.25324249267578
11851,COLEGIO JOSE MANUEL BALMACEDA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,58.838233947753906,43.98299789428711,0.0,0.0,74.0740737915039,95.52092742919922,56.58147048950195
11853,ESCUELA BAS. PARTICULAR MILLARAY,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,47.9327278137207,57.982540130615234,86.19999694824219,76.83333587646484,62.96296310424805,94.98515319824219,65.13987731933594
11854,ESCUELA BASICA PARTICULAR BRASILIA,2,Rural,3,Básica rural,21,Básica rural grupo 1,70.07500457763672,43.6622200012207,79.77999877929688,86.66666412353516,92.59259033203125,95.52092742919922,70.13976287841797
11855,COLEGIO ALVARO COVARRUBIAS ARLEGUI,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,61.00126266479492,44.32036209106445,0.0,0.0,55.55555725097656,79.60076904296875,53.603450775146484
11862,ESCUELA DE PARVULOS TRIBILIN,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,60.50236892700195,47.2756462097168,0.0,0.0,92.59259033203125,95.52092742919922,58.4895133972168
11867,COLEGIO UNIVERSAL SAN FRANCISCO,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,61.14556884765625,35.9808235168457,88.75,91.91666412353516,74.0740737915039,95.52092742919922,65.11540985107422
11870,ESC.BAS. PART. COLEGIO HAYDN DE SAN JOAQUIN,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,62.412818908691406,47.60285949707031,95.05000305175781,85.41666412353516,92.59259033203125,96.94317626953125,69.5747299194336
